Kannada,English
ivatthu,today
ninne,Yesterday
gadiyara,Clock
illa,No
nodu,See
chikka,small
dodda,big
sundara,beautiful
olleyadu,good
kettadu,bad
dhanyavaadagalu,thank you
eno,something
enu,what
helida,said
neeru,water
thale,head
kai,hand
beralu,finger
hotte,stomach
thumba,very
dina,day
kelavu samaya,sometimes
jana,people
saaku,enough
ella,all/every
kursi,chair
khali,empty
neevu,you (formal)
neenu,you (informal)
nambike,hope
matte,and
howdu,yes
eradu,both
kallu,stone
magu,child
bhase,language
mane,home
meju,table
amma,mother
illi,here
alli,there
huduga,boy
hudugi,girl
bili,white
kappu,black
kempu,red
maatra,only
naavu,we
kagada,paper
pustaka,book
yaaru,who
santosa,happy
hege,how
yeke,why
patra,letter
uttara,answer
hosa,new
hale,old
kopa,angry
hucchu,mad/crazy
katchita,sure
illave illa,not at all
maga,son
magalu,daughter
chinte,worry/upset
sahodara,brother
gothu,know
gothilla,don't know
gaali,air
eega,now
nimma,your
aaraam,comfort/rest
batte,cloth
halli,village
arogya,health
chitra,picture
baagilu,door
gode,wall
ganda,husband
hendati,wife
kutumpa,family
bahala,too many
beligge,morning
raatri,night
nagara,city
irabahadu,maybe
saaman,luggage
idee,whole
onti,alone
vayasu,age
kadime,less
jaasti,more
bisi,hot
maneyalli,at home
angadi,shop
ishta,liked
hindina,previous
mundina,next
lekhani,pen
shale,school
