Kannada,English
ivatthu,today
ninne,yesterday
gadiyara,clock
illa,no
chikka,small
dodda,big
sundara,beautiful
olleyadu,good
kettadu,bad
dhanyavaadagalu,thank you
enu,what
thale,head
kai,hand
beralu,finger
hotte,stomach
thumba,very
dina,day
jana,people
saaku,enough
ella,all/every
kursi,chair
khali,empty
neevu,you (formal)
neenu,you (informal)
nambike,hope
matte,and
howdu,yes
eradu,both
kallu,stone
magu,child
bhase,language
mane,home
meju,table
amma,mother
illi,here
alli,there
huduga,boy
hudugi,girl
bili,white
kappu,black
kempu,red
maatra,only
naavu,we
kagada,paper
pustaka,book
yaaru,who
santosa,happy
hege,how
yeke,why
patra,letter
uttara,answer
hosa,new
hale,old
kopa,angry
hucchu,mad/crazy
katchita,sure
illave illa,not at all
maga,son
magalu,daughter
chinte,worry/upset
sahodara,brother
gothu,know
gothilla,don't know
gaali,air
eega,now
nimma,your
batte,cloth
halli,village
chitra,picture
baagilu,door
gode,wall
ganda,husband
hendati,wife
kutumpa,family
bahala,too many
beligge,morning
raatri,night
nagara,city
irabahadu,maybe
saaman,luggage
idee,whole
onti,alone
vayasu,age
kadime,less
jaasti,more
bisi,hot
maneyalli,at home
angadi,shop
ishta,liked
hindina,previous
shale,school
